"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.616136146E0,-4.271388054E-3,-3.828752041E-2,9.717273712E-2
1.626143073E0,6.173729897E-3,-2.964818478E-2,1.283931732E-1
1.636162812E0,1.682639122E-3,-2.303576469E-2,1.049652100E-1
1.646182500E0,-1.933640242E-2,-2.731645107E-2,6.556606293E-2
1.656212083E0,-3.963744640E-2,1.418232918E-2,3.403472900E-2
1.666231823E0,-4.261869192E-2,2.756774426E-2,1.023101807E-2
1.676251562E0,-1.954996586E-2,1.565694809E-2,-1.777076721E-2
1.686272760E0,-1.362830400E-2,3.929746151E-2,4.122734070E-3
1.696292500E0,-1.284301281E-2,1.976430416E-2,4.388809204E-3
1.706312187E0,3.791153431E-3,-1.418733597E-2,-1.665878296E-2
1.716318437E0,1.510608196E-2,-1.268589497E-2,-2.801418304E-2
1.726338177E0,1.451200247E-2,-9.368658066E-3,-1.570129395E-2
1.736357916E0,1.139235497E-2,-4.857361317E-2,-3.616333008E-3
1.746375156E0,1.333767176E-2,-4.686832428E-2,-1.993465424E-2
1.756394896E0,8.277237415E-3,-3.561294079E-2,-2.993583679E-3
1.766414635E0,-8.586645126E-3,-2.694416046E-2,4.234313965E-3
1.776446250E0,-1.805531979E-2,-3.761386871E-2,2.071666718E-2
1.786465989E0,-8.222579956E-3,-3.408384323E-2,2.515888214E-2
1.796485677E0,-3.107786179E-3,-3.076708317E-2,8.328437805E-3
1.806507916E0,1.664280891E-3,-2.269387245E-2,5.901336670E-3
1.816527656E0,1.089745760E-2,-2.395975590E-2,-2.236557007E-2
1.826547344E0,2.943873405E-2,-2.279543877E-2,-1.483726501E-2
1.836567031E0,1.943284273E-2,-1.285815239E-2,-2.805709839E-3
1.846586771E0,2.833187580E-2,-1.798796654E-2,3.481388092E-2
1.856606510E0,3.464305401E-2,-1.861596107E-2,2.232170105E-2
1.866619896E0,1.933395863E-2,6.390094757E-3,5.942153931E-2
1.876639635E0,-7.068514824E-4,2.628016472E-2,7.940769196E-2
1.886659323E0,-6.623923779E-3,2.062427998E-2,1.201820374E-2
1.896662344E0,-2.383846045E-2,6.668210030E-3,-7.292461395E-2
1.906682083E0,-9.993553162E-3,2.819657326E-3,-7.398128510E-2
1.916701771E0,1.790779829E-2,9.927630424E-3,-2.097511292E-2
1.926743073E0,1.703983545E-2,-1.482391357E-2,2.864170074E-2
1.936762812E0,1.149231195E-2,-1.357924938E-2,-3.004074097E-4
1.946782500E0,-1.023018360E-2,-1.921558380E-2,-1.459407806E-2
1.956765104E0,1.518130302E-3,-2.213943005E-2,6.709098816E-3
1.966784896E0,-5.777895451E-3,-2.035415173E-2,3.235912323E-2
1.976804583E0,-1.304864883E-2,-6.779074669E-3,2.462100983E-2
1.986827031E0,5.499541759E-3,-7.027387619E-4,2.403545380E-2
1.996846771E0,1.665568352E-2,2.979516983E-3,9.340286255E-3
2.006866510E0,9.306728840E-3,1.141202450E-2,1.999855042E-3
2.016913385E0,2.599149942E-2,-8.553385735E-3,-1.225852966E-2
2.026933125E0,6.928265095E-3,-3.038322926E-2,-1.214218140E-2
2.036952864E0,-2.901554108E-4,-4.735326767E-2,2.088928223E-2
2.046983073E0,-3.085613251E-3,-4.378473759E-2,3.203392029E-2
2.057002812E0,-1.569497585E-2,-3.834152222E-2,7.596015930E-3
2.067022552E0,-9.472668171E-3,-3.994572163E-2,-1.878738403E-2
2.077027344E0,-1.727908850E-2,-2.959060669E-2,-2.350902557E-2
2.087047083E0,5.815327168E-3,-2.169430256E-2,-1.636123657E-2
2.097066823E0,-1.662135124E-3,-1.654481888E-2,-2.276420593E-3
